Rang;Kuca(m2);Stan(m2)
1;7279;6500
2;7199;4000
3;6575;4000
4;5760;3300
5;5760;3300
6;5760;3002
7;5760;2400
8;5700;1973
9;4824;1966
10;4441;1643
11;4000;1200
12;3800;1200
13;3470;1080
14;3300;1080
15;3300;1000
16;3200;970
17;3074;937
18;3074;832
19;3074;824
20;2800;782
21;2600;740
22;2536;669
23;2500;658
24;2436;658
25;2400;650
26;2200;640
27;2060;640
28;2023;640
29;2023;640
30;2000;611
31;2000;602
32;1946;600
33;1937;599
34;1937;587
35;1900;582
36;1764;582
37;1700;557
38;1700;553
39;1600;523
40;1600;523
41;1599;505
42;1557;505
43;1547;500
44;1534;500
45;1509;500
46;1500;500
47;1500;500
48;1500;493
49;1500;489
50;1500;489
51;1500;489
52;1500;470
53;1500;462
54;1482;460
55;1450;450
56;1444;450
57;1437;450
58;1413;443
59;1413;443
60;1400;437
61;1400;437
62;1400;435
63;1400;435
64;1400;428
65;1370;428
66;1362;428
67;1350;425
68;1350;425
69;1338;420
70;1338;420
71;1335;420
72;1335;420
73;1335;420
74;1316;420
75;1300;410
76;1300;405
77;1300;405
78;1300;400
79;1300;400
80;1290;400
81;1275;400
82;1275;400
83;1275;400
84;1274;400
85;1264;397
86;1260;397
87;1260;397
88;1260;397
89;1250;397
90;1250;395
91;1240;395
92;1237;393
93;1220;380
94;1205;380
95;1200;380
96;1200;380
97;1200;380
98;1200;380
99;1200;379
100;1200;379
